source_group,reference_regime,hardness_axis,conditioning_key,timestep,mean_raw_l2,mean_clean_pair_l2,mean_clean_subject_l2,mean_roundtrip_ratio,n
base_easy_control,easy_control,none,class,50,-0.0031025630448952503,-0.04316799937727126,-0.04316799937727126,76.10189489580296,320
base_easy_control,easy_control,none,class,200,-0.005130413996678706,-0.04542920157821237,-0.04542920157821237,532.5358670961108,320
base_easy_control,easy_control,none,class,500,-0.01222293407675681,-0.028714738413039516,-0.028714738413039516,16.408486566215426,320
base_easy_control,easy_control,none,class,800,-0.0037823343532251896,-0.00297146096148455,-0.00297146096148455,10.784674916716014,320
base_easy_control,easy_control,none,class,999,-0.0006024608038325675,0.003283250725159695,0.003283250725159695,11.48329976749306,320
base_easy_control,easy_control,none,class_context,50,-0.003118163909857288,-0.04310025695202248,-0.04310025695202248,59.43644252510968,320
base_easy_control,easy_control,none,class_context,200,-0.005138181338943886,-0.04541108473765023,-0.04541108473765023,32.92833878099647,320
base_easy_control,easy_control,none,class_context,500,-0.012273240086533068,-0.028846417734138513,-0.028846417734138513,24.408313974187436,320
base_easy_control,easy_control,none,class_context,800,-0.003882688968107801,-0.002778716254722111,-0.002778716254722111,7.575125375395861,320
base_easy_control,easy_control,none,class_context,999,-0.0008113607430238762,0.003694436518131161,0.003694436518131161,47.17314573406625,320
base_easy_control,easy_control,none,null,50,-0.002990977776678369,-0.04206095130680469,-0.04206095130680469,29.327320031962945,320
base_easy_control,easy_control,none,null,200,-0.005063625833063216,-0.043851791477699034,-0.043851791477699034,74.71783654494592,320
base_easy_control,easy_control,none,null,500,-0.012181738680667863,-0.02778761982777229,-0.02778761982777229,13.062318557930572,320
base_easy_control,easy_control,none,null,800,-0.0029308989567921086,-0.0004039153558056035,-0.0004039153558056035,13.272803283113095,320
base_easy_control,easy_control,none,null,999,-0.00036591459919007284,0.0049120566315298386,0.0049120566315298386,15.547625964723105,320
base_hard_control,hard_control,clutter_background,class,50,-0.014958699682374565,-0.05502413601475058,-0.05502413601475058,8.233005242885259,320
base_hard_control,hard_control,clutter_background,class,200,-0.003712178778168931,-0.0440109663597026,-0.0440109663597026,4.145982318108266,320
base_hard_control,hard_control,clutter_background,class,500,0.0013103990352282288,-0.015181405301054473,-0.015181405301054473,4.743589980948839,320
base_hard_control,hard_control,clutter_background,class,800,0.00796243818766328,0.008773311579403921,0.008773311579403921,2.282406988656586,320
base_hard_control,hard_control,clutter_background,class,999,0.004104018656065005,0.007989730185057267,0.007989730185057267,7.1182059330612475,320
base_hard_control,hard_control,clutter_background,class_context,50,-0.015030017196768598,-0.055012110238933785,-0.055012110238933785,8.705994404943144,320
base_hard_control,hard_control,clutter_background,class_context,200,-0.003752851739358169,-0.04402575513806452,-0.04402575513806452,4.067883585373517,320
base_hard_control,hard_control,clutter_background,class_context,500,0.001278676518552302,-0.01529450112905314,-0.01529450112905314,5.861285027909344,320
base_hard_control,hard_control,clutter_background,class_context,800,0.007787083100907087,0.008891055814292777,0.008891055814292777,2.5388778922435367,320
base_hard_control,hard_control,clutter_background,class_context,999,0.003550753390744933,0.00805655065189997,0.00805655065189997,7.120448127050091,320
base_hard_control,hard_control,clutter_background,null,50,-0.015309779355657721,-0.05437975288578405,-0.05437975288578405,4.618638077299655,320
base_hard_control,hard_control,clutter_background,null,200,-0.004263660701647257,-0.04305182634628307,-0.04305182634628307,4.570664080027069,320
base_hard_control,hard_control,clutter_background,null,500,0.0005058239082376171,-0.01510005723886681,-0.01510005723886681,4.571553096491408,320
base_hard_control,hard_control,clutter_background,null,800,0.006793681925276523,0.009320665526263028,0.009320665526263028,2.2830166862627235,320
