subject_id,conditioning_key,raw_easy_control,raw_hard_control,raw_hard_reference,raw_roundtrip_control,raw_standard_reference,clean_easy_control,clean_hard_control,clean_hard_reference,clean_roundtrip_control,clean_standard_reference,ratio_easy_control,ratio_hard_control,ratio_hard_reference,ratio_roundtrip_control,ratio_standard_reference,raw_standard_minus_easy,raw_hard_minus_standard,clean_hard_minus_standard
backpack,class,-0.003109447110932076,0.060753263371956495,-0.015401746321438784,-0.002269722565302898,-0.006582013130949244,-0.0008397245456291776,0.0630229859372594,-0.013132023756135886,0.0,-0.0043122905656463465,9.488944177067733,0.229254973743577,2.5012158661158046,0.9999952952004204,0.8752251124276416,-0.003472566020017168,-0.00881973319048954,-0.00881973319048954
backpack,class_context,-0.003122992743313759,0.060693789762635626,-0.015205866672686126,-0.0020236625942852797,-0.0063321447192335656,-0.0010993301490284787,0.0627174523569209,-0.013182204078400846,0.0,-0.004308482124948286,2.105276931973971,0.21075349316102812,3.7758982435449813,0.9999946936640092,0.8568086754650811,-0.0032091519759198067,-0.008873721953452561,-0.008873721953452561
backpack,null,-0.00330259620706431,0.05946005885591989,-0.016376935754238757,-0.00330618806786081,-0.007615585706673138,3.5918607964996723e-06,0.06276624692378069,-0.013070747686377945,0.0,-0.004309397638812328,2.58482855862915,0.29279897081246387,2.041733800572259,0.9999943627687427,1.2793618620259846,-0.004312989499608828,-0.00876135004756562,-0.008761350047565616
cat,class,-0.008221498398321066,-0.014509339991713404,0.027477920660366,0.04940908031873604,0.04465137827443453,-0.0576305787170571,-0.06391842031044943,-0.021931159658370034,0.0,-0.00475770204430151,104.38149974248292,10.211313023952728,2.6724876580646333,0.9999970818492073,1.2267166291405303,0.052872876672755593,-0.01717345761406853,-0.017173457614068525
cat,class_context,-0.0082097268281057,-0.014766190616658204,0.027234237376534243,0.049187669951585626,0.04443166801480494,-0.05739739677969133,-0.06395386056824383,-0.021953432575051383,0.0,-0.004756001936780687,66.13686971315889,10.475373490680566,2.388620543271537,0.9999979092191249,8.230392894887885,0.052641394842910645,-0.0171974306382707,-0.017197430638270696
cat,null,-0.00810120139937373,-0.016124831879212764,0.023504727831628523,0.04546296001715921,0.04072230018085622,-0.05356416141653294,-0.061587791896371966,-0.021958232185530686,0.0,-0.00474065983630298,31.20215897729153,7.795123295708887,2.089002736883257,0.999999220031042,1.0113665947531658,0.04882350158022995,-0.0172175723492277,-0.017217572349227706
colorful_sneaker,class,0.0026061172188654442,-0.025218295825275915,0.037930754313923384,0.05828280071019141,0.04725429168667833,-0.05567668349132597,-0.08350109653546733,-0.02035204639626802,0.0,-0.011028509023513086,15.998395580466154,11.034347048318491,2.3424332310437412,0.9999983127081156,1.3316701071379435,0.044648174467812884,-0.009323537372754945,-0.009323537372754934
colorful_sneaker,class_context,0.002484113087580162,-0.02546646138223485,0.03763881662323678,0.057967387233334666,0.04695706740743016,-0.0554832741457545,-0.0834338486155695,-0.02032857061009788,0.0,-0.0110103198259045,19.491715654377977,12.021807608844462,2.7473453594595307,0.9999987818319096,1.369911171663986,0.044472954319849996,-0.009318250784193377,-0.009318250784193379
colorful_sneaker,null,0.0027443397045179645,-0.02542584567164558,0.03710215286504885,0.057647763065178804,0.04666380312141751,-0.054903423360660834,-0.08307360873682437,-0.02054561020012995,0.0,-0.0109839599437613,19.421083409008602,11.586723419676389,2.1291057571326593,0.9999946415808766,1.5908162988575894,0.04391946341689955,-0.00956165025636866,-0.00956165025636865
dog,class,-0.0052085668673841476,-0.017888459493723252,-0.015719038573822463,0.003055908864848162,-0.002727181305240196,-0.00826447573223231,-0.020944368358571414,-0.018774947438670624,0.0,-0.005783090170088358,762.2153603906528,10.080921549798914,1.539037166784149,0.9999991838574003,1.9080665154027283,0.0024813855621439516,-0.012991857268582267,-0.012991857268582267
