source_group,reference_regime,hardness_axis,conditioning_key,timestep,mean_normalized_l2,median_normalized_l2,mean_floor_adjusted_l2,median_floor_adjusted_l2,mean_cosine_distance,n
dreambooth_hard_reference,hard_reference,high_frequency,class,999,0.05060933989199308,0.050676727831416205,-0.004165233259024225,-0.004934078245954449,0.00128453956442223,80
dreambooth_hard_reference,hard_reference,high_frequency,class_context,50,0.6419493277031602,0.6223998757278737,-0.05338937889369759,-0.07109260560830316,0.24015675159529307,80
dreambooth_hard_reference,hard_reference,high_frequency,class_context,200,0.4826867218462893,0.47447408850417394,-0.016219095259710964,-0.03626174317365258,0.1268715604182134,80
dreambooth_hard_reference,hard_reference,high_frequency,class_context,500,0.29797007413975074,0.3007080262527173,0.013206356426889726,0.006080049997582937,0.04574228934875461,80
dreambooth_hard_reference,hard_reference,high_frequency,class_context,800,0.1281453466452372,0.1271663899401626,0.003399872063036588,0.004109526107474372,0.008258905943311882,80
dreambooth_hard_reference,hard_reference,high_frequency,class_context,999,0.050771897202557884,0.05070973504644265,-0.004923637481819312,-0.005251281801699873,0.0012924858817169476,80
dreambooth_hard_reference,hard_reference,high_frequency,null,50,0.6419906801806903,0.6226878302313816,-0.0543888289812642,-0.07256966754220862,0.24019123955256383,80
dreambooth_hard_reference,hard_reference,high_frequency,null,200,0.4829617895761351,0.4755581740436813,-0.01756039424310023,-0.03746631809158116,0.12699776383770578,80
dreambooth_hard_reference,hard_reference,high_frequency,null,500,0.298749184198404,0.3012626323693002,0.01201988183224872,0.0051547567339579325,0.045983257886504085,80
dreambooth_hard_reference,hard_reference,high_frequency,null,800,0.12832268903024868,0.1273095254562459,0.001053154533168443,0.0015502232493189855,0.008282860636570449,80
dreambooth_hard_reference,hard_reference,high_frequency,null,999,0.05063112259505711,0.05080139752922775,-0.00559934058075341,-0.006059682863636406,0.0012853898230497525,80
dreambooth_reference,standard_reference,none,class,50,0.7264299678152629,0.7342980676214511,0.031154838346335263,0.0318847820290018,0.3177868970445342,80
dreambooth_reference,standard_reference,none,class,200,0.5273539714198336,0.524635980476658,0.028503583187562014,0.010930827295744405,0.15308994992959046,80
dreambooth_reference,standard_reference,none,class,500,0.2926714073424185,0.2893976405902309,0.007997319779062753,-0.006077198119150917,0.04436061526798554,80
dreambooth_reference,standard_reference,none,class,800,0.12026075263088006,0.1192541739725082,-0.004056957690611569,-0.005899066446697417,0.007274412287497238,80
dreambooth_reference,standard_reference,none,class,999,0.04970846859641607,0.04918597420003365,-0.0050661045546012305,-0.006322159084678151,0.001240314567617515,80
dreambooth_reference,standard_reference,none,class_context,50,0.726433164863834,0.7342818143299219,0.031094458266976228,0.031845566976242634,0.317789442058937,80
dreambooth_reference,standard_reference,none,class_context,200,0.5273822981699696,0.5246339289865484,0.028476481063969456,0.01091506426811878,0.1531112729309886,80
dreambooth_reference,standard_reference,none,class_context,500,0.2928584048241781,0.28930999518690614,0.008094687111317077,-0.00641175593745924,0.04442456828259932,80
dreambooth_reference,standard_reference,none,class_context,800,0.12041699998317865,0.119533630846854,-0.004328474599021941,-0.005938773335033183,0.007293262654118983,80
dreambooth_reference,standard_reference,none,class_context,999,0.05001079018459857,0.04976496500091225,-0.005684744499778624,-0.0066630530888706005,0.0012547344486237976,80
dreambooth_reference,standard_reference,none,null,50,0.7265805826218394,0.734361495455349,0.030201073459884993,0.030443681750937923,0.3179513694457953,80
dreambooth_reference,standard_reference,none,null,200,0.5275249445595548,0.5245359313651344,0.027002760740319386,0.008766379739745811,0.15319704755483832,80
dreambooth_reference,standard_reference,none,null,500,0.29388276891926596,0.2909114366806691,0.0071534665531106725,-0.006566681100570071,0.04475194548663001,80
dreambooth_reference,standard_reference,none,null,800,0.1213871783450399,0.12131568597846736,-0.005882356152040352,-0.008645203344124573,0.007407080590628083,80
dreambooth_reference,standard_reference,none,null,999,0.049783596336814784,0.049320387722648795,-0.006446866838995734,-0.007438672685017501,0.0012436482191151713,80
vae_roundtrip_control,roundtrip_control,none,class,50,0.7353405658013037,0.7429811784542721,0.040065436332376025,0.04056910067015557,0.3274516425955878,80
vae_roundtrip_control,roundtrip_control,none,class,200,0.5391491758138053,0.5366834702784018,0.040298787581533685,0.022114868839269664,0.16080026101839281,80
vae_roundtrip_control,roundtrip_control,none,class,500,0.30116589189963844,0.2978284563046047,0.016491804336282705,-0.0005699707493406758,0.04712830426040076,80
vae_roundtrip_control,roundtrip_control,none,class,800,0.12350683692975098,0.12202145630271996,-0.0008108733917406559,-0.0037573582277967907,0.00768266905751794,80
vae_roundtrip_control,roundtrip_control,none,class,999,0.05088886162202501,0.050224317973282154,-0.003885711528992298,-0.0050083417440410505,0.0012993598969255112,80
vae_roundtrip_control,roundtrip_control,none,class_context,50,0.735320799639023,0.7429568864730949,0.039982093042165205,0.04054801897630761,0.3274298827740838,80
vae_roundtrip_control,roundtrip_control,none,class_context,200,0.5391787205047066,0.536655262907493,0.04027290339870636,0.022107684832165853,0.16082285214836314,80
vae_roundtrip_control,roundtrip_control,none,class_context,500,0.30133689536046643,0.29771687583914136,0.016573177647605436,-0.0009223164013436591,0.04719057546346468,80
vae_roundtrip_control,roundtrip_control,none,class_context,800,0.12364150186881491,0.1228203394423395,-0.001103972713385693,-0.0038408720169682484,0.007699156660597879,80
vae_roundtrip_control,roundtrip_control,none,class_context,999,0.05118973742322212,0.05111223008789465,-0.004505797261155067,-0.00521574029804198,0.0013140272448932048,80
vae_roundtrip_control,roundtrip_control,none,null,50,0.7354494826920808,0.7431039947692425,0.03906997353012635,0.039186120973224936,0.32757154648962106,80
vae_roundtrip_control,roundtrip_control,none,null,200,0.5393103494638712,0.5367437873577083,0.03878816564463583,0.01985094533435028,0.16090494187648652,80
vae_roundtrip_control,roundtrip_control,none,null,500,0.3023351835132597,0.29971729887901294,0.015605881147104409,-0.0019793334270119256,0.047515466851850915,80
vae_roundtrip_control,roundtrip_control,none,null,800,0.12474255089609372,0.12453668078624765,-0.00252698360098652,-0.006504341450794739,0.007831554471501382,80
vae_roundtrip_control,roundtrip_control,none,null,999,0.05095249194509057,0.0505224077011074,-0.005277971230719945,-0.006603830155163547,0.00130218324734702,80
