subject_id,conditioning_key,timestep,base_floor_l2
backpack,class,50,0.6742496638288069
backpack,class,200,0.48004215745939904
backpack,class,500,0.27016532927660625
backpack,class,800,0.12233307176618774
backpack,class,999,0.0535883278941169
backpack,class_context,50,0.6742695022878753
backpack,class_context,200,0.4801203579841647
backpack,class_context,500,0.27038023107409526
backpack,class_context,800,0.12238446116624324
backpack,class_context,999,0.053971223892199355
backpack,null,50,0.6746971982993717
backpack,null,200,0.4808848627412113
backpack,null,500,0.2718388933497963
backpack,null,800,0.12649110761422716
backpack,null,999,0.05471812812079285
cat,class,50,0.6726281470650533
cat,class,200,0.48440001856516857
cat,class,500,0.28439643263875936
cat,class,800,0.1262491782997598
cat,class,999,0.0569554625081756
cat,class_context,50,0.672611769878227
cat,class_context,200,0.48448232838635863
cat,class_context,500,0.28436079072056286
cat,class_context,800,0.12670016605015583
cat,class_context,999,0.057536733953610045
cat,null,50,0.6756774525752902
cat,null,200,0.48895346969934284
cat,null,500,0.2886365855827834
cat,null,800,0.13409688628268415
cat,null,999,0.059273003515668804
colorful_sneaker,class,50,0.6787372892900438
colorful_sneaker,class,200,0.4683224010496513
colorful_sneaker,class,500,0.2687505558429233
colorful_sneaker,class,800,0.12080750318349225
colorful_sneaker,class,999,0.0535132463101022
colorful_sneaker,class_context,50,0.6789178773212177
colorful_sneaker,class_context,200,0.4683964290718956
colorful_sneaker,class_context,500,0.26891111738694295
colorful_sneaker,class_context,800,0.1213272348576346
colorful_sneaker,class_context,999,0.054491256280645994
colorful_sneaker,null,50,0.6795098241319986
colorful_sneaker,null,200,0.4694418355081076
colorful_sneaker,null,500,0.27048490038266326
colorful_sneaker,null,800,0.1220472389377147
colorful_sneaker,null,999,0.054478852528938054
dog,class,50,0.7024120777841165
dog,class,200,0.5090191002539438
dog,class,500,0.29547209135752334
dog,class,800,0.1281713209111628
dog,class,999,0.05714403490184575
dog,class_context,50,0.7024088674967873
dog,class_context,200,0.5089656010481425
dog,class_context,500,0.2955304571905105
dog,class_context,800,0.12850835588245574
dog,class_context,999,0.059028422177248005
dog,null,50,0.7039178737960176
dog,null,200,0.5112652662557988
dog,null,500,0.29800402001175647
dog,null,800,0.1301112422732849
dog,null,999,0.0588361306541738
dog7,class,50,0.7024144934007821
dog7,class,200,0.5090174812359127
dog7,class,500,0.2954748387093818
dog7,class,800,0.12817214110793862
dog7,class,999,0.05714917336980705
dog7,class_context,50,0.702480600805859
dog7,class_context,200,0.5090272979220436
dog7,class_context,500,0.2957217511243654
dog7,class_context,800,0.12822206945691456
dog7,class_context,999,0.058161489618624704
dog7,null,50,0.7039177536128047
dog7,null,200,0.5112709240115798
dog7,null,500,0.29800234010422366
dog7,null,800,0.130109120425747
dog7,null,999,0.0588360837967905
fancy_boot,class,50,0.7557706846543386
fancy_boot,class,200,0.5705803861502785
fancy_boot,class,500,0.31884227494958406
fancy_boot,class,800,0.13164990637731083
fancy_boot,class,999,0.05837284730604245
fancy_boot,class_context,50,0.7558158181356032
fancy_boot,class_context,200,0.570675597275146
fancy_boot,class_context,500,0.3188122829485678
fancy_boot,class_context,800,0.1327227604246412
fancy_boot,class_context,999,0.0597703936154037
fancy_boot,null,50,0.7563938059498856
fancy_boot,null,200,0.571430783861125
fancy_boot,null,500,0.3201603980626162
fancy_boot,null,800,0.1334797901325666
fancy_boot,null,999,0.0601516925036659
shiny_sneaker,class,50,0.6787415181443923
shiny_sneaker,class,200,0.4683227082434466
shiny_sneaker,class,500,0.2687492646016366
shiny_sneaker,class,800,0.12079898392686955
shiny_sneaker,class,999,0.0535113220939247
shiny_sneaker,class_context,50,0.6789160418395495
shiny_sneaker,class_context,200,0.46839361803291313
shiny_sneaker,class_context,500,0.2689074901553702
shiny_sneaker,class_context,800,0.12133421928757096
shiny_sneaker,class_context,999,0.0544932572040472
shiny_sneaker,null,50,0.6795181880468002
shiny_sneaker,null,200,0.46944596313432785
shiny_sneaker,null,500,0.27048508471669097
shiny_sneaker,null,800,0.1220457867035821
shiny_sneaker,null,999,0.05447970162042965
vase,class,50,0.6972471615838878
vase,class,200,0.5010988529003726
vase,class,500,0.2755419131304314
vase,class,800,0.1163595769992114
vase,class,999,0.047962170824123754
vase,class_context,50,0.697289175009743
vase,class_context,200,0.5011853071273378
vase,class_context,500,0.275485621102473
vase,class_context,800,0.11676452953198871
vase,class_context,999,0.048111500733238555
vase,null,50,0.6974039768834672
vase,null,200,0.5014843653423898
vase,null,500,0.2762221967187122
vase,null,800,0.11977510360683524
vase,null,999,0.0490701126660246
