subject_id,source_group,conditioning_key,mean_floor_adjusted_l2,median_floor_adjusted_l2,mean_cosine_distance,n
backpack,base_easy_control,class,-0.003109447110932082,3.469446951953614e-18,0.0857635013400062,200
backpack,base_easy_control,class_context,-0.0031229927433137593,-3.469446951953614e-18,0.08578467556117797,200
backpack,base_easy_control,null,-0.003302596207064319,-3.469446951953614e-18,0.08614151496022958,200
backpack,base_hard_control,class,0.06075326337195653,0.0800151765258939,0.12343019783843005,200
backpack,base_hard_control,class_context,0.06069378976263566,0.0802296601863964,0.12344662638374215,200
backpack,base_hard_control,null,0.05946005885591992,0.07821377554311507,0.12369175549146894,200
backpack,dreambooth_hard_reference,class,-0.015401746321438807,-0.005437481412513316,0.07669232923917522,300
backpack,dreambooth_hard_reference,class_context,-0.015205866672686143,-0.005073349153547405,0.07672824001092061,300
backpack,dreambooth_hard_reference,null,-0.01637693575423879,-0.006990972040410954,0.07686516116285372,300
backpack,dreambooth_reference,class,-0.006582013130949294,-0.006532864015321105,0.08336202236627167,50
backpack,dreambooth_reference,class_context,-0.006332144719233617,-0.006289791764405625,0.08339624185099083,50
backpack,dreambooth_reference,null,-0.007615585706673189,-0.007130003742560426,0.08355077525845524,50
backpack,vae_roundtrip_control,class,-0.002269722565302921,-0.0027779264025882336,0.08600163503017702,50
backpack,vae_roundtrip_control,class_context,-0.002023662594285292,-0.0025113013882783856,0.0860330021606759,50
backpack,vae_roundtrip_control,null,-0.003306188067860836,-0.0036208715659852286,0.08618296701129409,50
cat,base_easy_control,class,-0.008221498398321087,5.551115123125783e-17,0.08339638660124908,200
cat,base_easy_control,class_context,-0.008209726828105692,5.551115123125783e-17,0.08343470043220634,200
cat,base_easy_control,null,-0.008101201399373726,-3.469446951953614e-18,0.08488233570085388,200
cat,base_hard_control,class,-0.014509339991713414,0.0019935588115153544,0.07895729611133792,200
cat,base_hard_control,class_context,-0.014766190616658192,0.0012024217289384569,0.07894380205665158,200
cat,base_hard_control,null,-0.016124831879212757,-0.00016444258459755168,0.07986820919673486,200
cat,dreambooth_hard_reference,class,0.027477920660365994,0.012278262219004049,0.10886633063048898,300
cat,dreambooth_hard_reference,class_context,0.027234237376534257,0.011930004388908205,0.1088477097632567,300
cat,dreambooth_hard_reference,null,0.023504727831628526,0.005449179613320532,0.10905317632714881,300
cat,dreambooth_reference,class,0.04465137827443453,0.039716157100117944,0.12179033516559057,50
cat,dreambooth_reference,class_context,0.04443166801480495,0.04000070431274183,0.12180465541588183,50
cat,dreambooth_reference,null,0.040722300180856236,0.03707254229372978,0.12204699984927075,50
cat,vae_roundtrip_control,class,0.049409080318736025,0.04487597776362878,0.12516752267629916,50
cat,vae_roundtrip_control,class_context,0.04918766995158564,0.04509108912251647,0.1251816740123768,50
cat,vae_roundtrip_control,null,0.045462960017159215,0.042698643855761415,0.12542654771502335,50
colorful_sneaker,base_easy_control,class,0.002606117218865446,0.0,0.08969716597371771,200
colorful_sneaker,base_easy_control,class_context,0.0024841130875801485,3.469446951953614e-18,0.08974532895264806,200
colorful_sneaker,base_easy_control,null,0.00274433970451796,-3.469446951953614e-18,0.09006572532525203,200
colorful_sneaker,base_hard_control,class,-0.025218295825275926,-0.006398522626295922,0.06818068037640898,200
colorful_sneaker,base_hard_control,class_context,-0.02546646138223487,-0.006878032550297647,0.06819261214801578,200
colorful_sneaker,base_hard_control,null,-0.02542584567164559,-0.006664390110882323,0.06844832415567365,200
colorful_sneaker,dreambooth_hard_reference,class,0.03793075431392342,0.039720600546766405,0.11154245497318842,300
colorful_sneaker,dreambooth_hard_reference,class_context,0.03763881662323679,0.0403064742721185,0.11158050573778931,300
colorful_sneaker,dreambooth_hard_reference,null,0.037102152865048865,0.03964513865064975,0.11166951960338575,300
colorful_sneaker,dreambooth_reference,class,0.04725429168667836,0.049806836252418746,0.118827986473746,50
colorful_sneaker,dreambooth_reference,class_context,0.046957067407430164,0.049915854999366405,0.11885479953904399,50
colorful_sneaker,dreambooth_reference,null,0.046663803121417526,0.050916522344838344,0.11906081221582435,50
colorful_sneaker,vae_roundtrip_control,class,0.05828280071019145,0.06584773072004763,0.12557031357694529,50
colorful_sneaker,vae_roundtrip_control,class_context,0.05796738723333468,0.06589069484434396,0.1255890953838431,50
colorful_sneaker,vae_roundtrip_control,null,0.057647763065178825,0.0670884792834692,0.12578437131393908,50
dog,base_easy_control,class,-0.00520856686738415,0.0,0.095284458179341,200
dog,base_easy_control,class_context,-0.005269462376447812,-3.469446951953614e-18,0.09530083282645364,200
dog,base_easy_control,null,-0.004278770002227614,-1.3877787807814457e-17,0.0962722345094392,200
dog,base_hard_control,class,-0.017888459493723263,-0.0023403391108735606,0.08679506699101652,200
dog,base_hard_control,class_context,-0.018231647008790253,-0.0032860425912529558,0.08678908062832931,200
dog,base_hard_control,null,-0.01896128818745862,-0.0034095011506081498,0.08716516283541456,200
dog,dreambooth_hard_reference,class,-0.01571903857382249,-0.010767543258418617,0.09110056169045208,300
dog,dreambooth_hard_reference,class_context,-0.01590586958650522,-0.01116648186484677,0.09111982078789715,300
dog,dreambooth_hard_reference,null,-0.017249480376664773,-0.011817690366416115,0.09120632978330509,300
dog,dreambooth_reference,class,-0.002727181305240216,-0.008679015740582618,0.10092990007609969,50
dog,dreambooth_reference,class_context,-0.0029191018997895574,-0.009445779895753369,0.10094749516696533,50
dog,dreambooth_reference,null,-0.004016481923467372,-0.009681056538761102,0.1010828758547763,50
dog,vae_roundtrip_control,class,0.003055908864848145,-0.0072344448418874725,0.10438093990102518,50
dog,vae_roundtrip_control,class_context,0.002841474194326544,-0.008021642373532718,0.10438823185376872,50
dog,vae_roundtrip_control,null,0.0018328566371237699,-0.008005658342563806,0.10453089503176888,50
dog7,base_easy_control,class,-0.005210127836437945,5.551115123125783e-17,0.095284600241476,200
dog7,base_easy_control,class_context,-0.005241480616203972,-3.469446951953614e-18,0.09532440721243983,200
dog7,base_easy_control,null,-0.004278850046616371,0.0,0.09627232681239571,200
dog7,base_hard_control,class,-0.002852594797054453,0.002918814865686431,0.09638069374513826,200
dog7,base_hard_control,class_context,-0.0029090063034281697,0.002840997513868182,0.09641973057515964,200
dog7,base_hard_control,null,-0.002698340344190182,0.0030968421218799114,0.09710877449299961,200
dog7,dreambooth_hard_reference,class,-0.008345657223778006,-0.005988638616757504,0.09492495441141725,300
dog7,dreambooth_hard_reference,class_context,-0.00859475569960114,-0.006462691265048455,0.09490782434085857,300
dog7,dreambooth_hard_reference,null,-0.009631922307929879,-0.006837578640107839,0.09511100424868295,300
dog7,dreambooth_reference,class,0.005923192331691449,-0.006538330307019651,0.10532769885607003,50
dog7,dreambooth_reference,class_context,0.005638595382364984,-0.0067377576987999385,0.1053154856650859,50
dog7,dreambooth_reference,null,0.00480648265445906,-0.007558724273165597,0.1055359801435754,50
dog7,vae_roundtrip_control,class,0.012476872743751095,-0.00137698070655895,0.10950753307450083,50
dog7,vae_roundtrip_control,class_context,0.012202825149338783,-0.0017213483291508291,0.10949546534993539,50
dog7,vae_roundtrip_control,null,0.011353128531641825,-0.003063305879470124,0.10969603642267904,50
fancy_boot,base_easy_control,class,-0.01674793179076092,0.0,0.10694343702415723,200
fancy_boot,base_easy_control,class_context,-0.016945738286463494,0.0,0.107008337160871,200
fancy_boot,base_easy_control,null,-0.016532191270917602,-1.3877787807814457e-17,0.10742004597377547,200
fancy_boot,base_hard_control,class,-0.05115175690194656,-0.034517383071385854,0.08481907527150012,200
fancy_boot,base_hard_control,class_context,-0.051519794575558636,-0.034628811940863924,0.08481921404927904,200
fancy_boot,base_hard_control,null,-0.0513673388381692,-0.03484784363323856,0.08507798566039602,200
fancy_boot,dreambooth_hard_reference,class,-0.03355596116578699,-0.025234624591113627,0.09550271898860552,300
fancy_boot,dreambooth_hard_reference,class_context,-0.034028514808973204,-0.026155348588194474,0.09550858509426882,300
fancy_boot,dreambooth_hard_reference,null,-0.03454596899723195,-0.026897137115993563,0.09558497262825795,300
fancy_boot,dreambooth_reference,class,-0.027708742706102896,-0.023848782965738002,0.09994955672240195,50
fancy_boot,dreambooth_reference,class_context,-0.028071362812246158,-0.02383355220951458,0.09997257393392356,50
fancy_boot,dreambooth_reference,null,-0.028567168241249528,-0.024791859860298,0.1000373560697286,50
fancy_boot,vae_roundtrip_control,class,-0.02066444320597053,-0.01386318505682968,0.10368777494149908,50
fancy_boot,vae_roundtrip_control,class_context,-0.021037780761924356,-0.01363019345426239,0.10370454007411535,50
fancy_boot,vae_roundtrip_control,null,-0.0214546916653153,-0.0148919124355342,0.1037950906079704,50
shiny_sneaker,base_easy_control,class,0.0026072256585977587,-3.469446951953614e-18,0.08969730915885547,200
shiny_sneaker,base_easy_control,class_context,0.002483847451121479,3.469446951953614e-18,0.0897453290290726,200
shiny_sneaker,base_easy_control,null,0.0027418016385032788,0.0,0.09006539648633838,200
shiny_sneaker,base_hard_control,class,0.031096504078868853,0.03564631226268619,0.09965646769817477,200
shiny_sneaker,base_hard_control,class_context,0.030817221465518227,0.035612555423379696,0.0996689287278774,200
shiny_sneaker,base_hard_control,null,0.030521746528335513,0.03558058369572936,0.09993321515046687,200
shiny_sneaker,dreambooth_hard_reference,class,0.06387367367302406,0.07012059583258917,0.13273279423665493,300
shiny_sneaker,dreambooth_hard_reference,class_context,0.06357802671031619,0.0704619044387362,0.13277280491197088,300
shiny_sneaker,dreambooth_hard_reference,null,0.06290565126229503,0.06955532354532984,0.13282195534758282,300
shiny_sneaker,dreambooth_reference,class,0.07143423865987969,0.07210665525273574,0.13963648435724343,50
shiny_sneaker,dreambooth_reference,class_context,0.07123166044360345,0.0728479996784894,0.1397159918147285,50
shiny_sneaker,dreambooth_reference,null,0.07048849969467186,0.07135675748921258,0.13972509370321584,50
shiny_sneaker,vae_roundtrip_control,class,0.08098529736148978,0.08791228147002147,0.14578230725849686,50
shiny_sneaker,vae_roundtrip_control,class_context,0.08076050337129584,0.08809360101254052,0.14585362359231913,50
shiny_sneaker,vae_roundtrip_control,null,0.07997394350598919,0.08690792467207847,0.1458415141081565,50
vase,base_easy_control,class,-0.0064609009142486615,-3.469446951953614e-18,0.0924783096377009,200
vase,base_easy_control,class_context,-0.006536375762512358,-3.469446951953614e-18,0.0924746813327993,200
vase,base_easy_control,null,-0.0066455817710482255,0.0,0.09264161147719886,200
vase,base_hard_control,class,0.0113002434283491,0.012197146251484624,0.09919710440413372,200
vase,base_hard_control,class_context,0.011515919177040384,0.012167889230680462,0.09925997818704016,200
vase,base_hard_control,null,0.009965529036080424,0.01089469041867451,0.09921938597013234,200
vase,dreambooth_hard_reference,class,-0.045885034769451855,-0.031005713557703873,0.06374099480070304,300
vase,dreambooth_hard_reference,class_context,-0.046161857866563294,-0.0309933318011658,0.06371193412601966,300
vase,dreambooth_hard_reference,null,-0.04671531984176929,-0.031585390411812714,0.06379539258510696,300
vase,dreambooth_reference,class,-0.03859287730199605,-0.03918066482073222,0.0681795185381366,50
vase,dreambooth_reference,class_context,-0.0386925300673947,-0.03902644184579329,0.06819000521380834,50
vase,dreambooth_reference,null,-0.03923692536036825,-0.039483815074466175,0.0682418529803645,50
vase,vae_roundtrip_control,class,-0.0338206849006079,-0.035116806691531915,0.07088155246717628,50
vase,vae_roundtrip_control,class_context,-0.03394896996137385,-0.03494081599734829,0.07088475843920997,50
vase,vae_roundtrip_control,null,-0.034455267239660484,-0.035192306204886725,0.07094368648805972,50
