class_name,conditioning_key,source_group,reference_regime,hardness_axis,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_artifact_cosine,n
backpack,class,base_generated_control,easy_control,none,0.05769494163707885,0.3075204477574857,0.9838581658076632,0.9838581658633088,100
backpack,class,dreambooth_reference,standard_reference,none,0.06327110073869138,0.336404603461055,0.9839910951605162,0.9839910952191502,150
backpack,class,ordinary_real_control,ordinary_background_heavy,background_heavy,0.06956284485574905,0.3808024269348775,0.9845993344645882,0.9845993345183848,25
backpack,class,ordinary_real_control,ordinary_clean_object,clean_object,0.07566180244539143,0.33441142566784277,0.9795431144658902,0.9795431145189051,25
backpack,class,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,0.0711744784041022,0.35304552126084426,0.9834552742347542,0.9834552742874209,25
backpack,class,ordinary_real_control,ordinary_matched_context,matched_context,0.07889436614871247,0.35821826185142003,0.9795013222400861,0.9795013222857682,25
cat,class,base_generated_control,easy_control,none,0.059336246123449295,0.3065363644579635,0.9837458568540518,0.9837458569038589,100
cat,class,dreambooth_reference,standard_reference,none,0.0594644900046308,0.3353886732366849,0.9832275166419238,0.9832275167132838,125
cat,class,ordinary_real_control,ordinary_background_heavy,background_heavy,0.0720236537735392,0.3357817879580259,0.9816026801728812,0.981602680217508,25
cat,class,ordinary_real_control,ordinary_clean_object,clean_object,0.06479270648542686,0.3238009704603702,0.9812474063745992,0.9812474064363557,25
cat,class,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,0.0744958781589439,0.32694566879537873,0.9789906832826631,0.9789906833322264,25
cat,class,ordinary_real_control,ordinary_matched_closeup,matched_closeup,0.06986201631793353,0.3253166803143992,0.9812354461533245,0.9812354461996492,25
dog,class,base_generated_control,easy_control,none,0.05829202747527099,0.3223230933810592,0.9849432100118214,0.9849432100608634,200
dog,class,dreambooth_reference,standard_reference,none,0.06136453767122915,0.32933704626220023,0.9846655074477508,0.9846655075066312,125
dog,class,ordinary_real_control,ordinary_background_heavy,background_heavy,0.07306679491786748,0.3517190836700077,0.9811652893069018,0.9811652893530182,25
dog,class,ordinary_real_control,ordinary_clean_object,clean_object,0.06897853800763662,0.39796043366469674,0.9870635659250244,0.9870635659688073,25
dog,class,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,0.07660200144744263,0.33758150964962114,0.9752808417692702,0.9752808418195305,25
dog,class,ordinary_real_control,ordinary_matched_closeup,matched_closeup,0.06509424298721424,0.36724596142874544,0.9858045735984198,0.9858045736479042,25
vase,class,base_generated_control,easy_control,none,0.055904177845509266,0.31080493551752236,0.9842241833870206,0.9842241834541876,100
vase,class,dreambooth_reference,standard_reference,none,0.06806925678002212,0.269042079274144,0.9717794809333675,0.9717794810121817,150
vase,class,ordinary_real_control,ordinary_background_heavy,background_heavy,0.07332383828864975,0.3780323531159293,0.983072553084242,0.9830725531299721,25
vase,class,ordinary_real_control,ordinary_clean_object,clean_object,0.07258224037455023,0.31951785595082166,0.9777013905755046,0.9777013906330427,25
vase,class,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,0.06231984715481334,0.3671754096368828,0.9878897939919298,0.9878897940412628,25
vase,class,ordinary_real_control,ordinary_matched_window,matched_window,0.07885820573615258,0.3630376456999591,0.9779479103996497,0.9779479104457461,25
