class_name,conditioning_key,base_generated_control,dreambooth_reference,ordinary_real_control,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
backpack,class,0.05769494163707885,0.06327110073869138,0.07382337296348879,,0.01612843132640994,-0.010552272224797404,
cat,class,0.059336246123449295,0.0594644900046308,0.07029356368396086,,0.010957317560511569,-0.010829073679330066,
dog,class,0.05829202747527099,0.06136453767122915,0.07093539434004024,,0.012643366864769252,-0.009570856668811092,
vase,class,0.055904177845509266,0.06806925678002212,0.07177103288854148,,0.01586685504303221,-0.00370177610851935,
