source_group,conditioning_key,timestep,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_dct_clean_low,mean_dct_clean_mid,mean_dct_clean_high,mean_dct_artifact_low,mean_dct_artifact_mid,mean_dct_artifact_high,n
base_generated_control,class,50,0.12887480624048203,0.668739716732788,0.9809726950049408,0.017340478405699154,0.016955127951815044,0.016825045848237172,0.5652823447913268,0.44269387304330726,0.43013474610152014,100
base_generated_control,class,200,0.08895305315939991,0.4713688213578596,0.9812537757092953,0.011099077096515949,0.00857257771885287,0.0076851870520750565,0.36427473637276364,0.21971049963264033,0.21434973149578007,100
base_generated_control,class,500,0.046197753903180525,0.25796804524119027,0.9816915589677904,0.0043480146175334695,0.002398452367551514,0.001975382093435087,0.2009313208555955,0.06756506442993337,0.06155191745184431,100
base_generated_control,class,800,0.018542986260557295,0.11763540786250584,0.986621271678602,0.001076624863193416,0.0004034360870157,0.00029364796786427,0.1013168955573001,0.014275690844157944,0.009577371655887184,100
base_generated_control,class,999,0.006950820992959632,0.053795943300746246,0.9911753247117501,0.000212474506143724,5.475569586765146e-05,3.8993456851289496e-05,0.04058478543935629,0.002401179313843712,0.0013154982667506628,100
dreambooth_reference,class,50,0.14715782318589474,0.6829331918627708,0.9744149613038037,0.028301381021880078,0.022918594906383927,0.021253066647646524,0.5914726652763341,0.4621386169620092,0.4395569882213467,110
dreambooth_reference,class,200,0.09502613741150573,0.47986746708874745,0.977653143183722,0.016080412128732596,0.0099570701532271,0.008479125191654118,0.38943390812308937,0.2358874388003058,0.2156391759357746,110
dreambooth_reference,class,500,0.04764086765565815,0.2604714916235945,0.9807213552615784,0.0054587555117577395,0.0025527459313670884,0.0020466908892867335,0.21838047185077802,0.07441897369445348,0.058386608329316136,110
dreambooth_reference,class,800,0.0193078349388841,0.11044489342122815,0.9831966961705622,0.0015682249535211182,0.0004783093606047118,0.0002909816168662591,0.10017731259993083,0.013178548225909213,0.007565975191220531,110
dreambooth_reference,class,999,0.007273537601598348,0.04726220461857255,0.987215793401169,0.00029015819180887726,7.012510950971359e-05,3.750086512919003e-05,0.03100370773636441,0.0019176120768118318,0.0009694312188043455,110
ordinary_real_control,class,50,0.16208926893748604,0.7209533479897972,0.9737409487991784,0.024014510180587558,0.02618392026201703,0.02670845884825356,0.6276110195055067,0.49866340999610487,0.4898130363895219,80
ordinary_real_control,class,200,0.10816267744422232,0.5396795455391926,0.9792419225827729,0.014224185384150453,0.012236178733183082,0.011506609298818174,0.42567716627328817,0.2798609894140677,0.2764399977765747,80
ordinary_real_control,class,500,0.057975526920732136,0.3131985164543339,0.9823233577200016,0.005507339278975368,0.003570839859852855,0.003236142268892209,0.2717717772685413,0.10128701758420862,0.08540850313826157,80
ordinary_real_control,class,800,0.022199267310337712,0.12956093366348814,0.9848802644852397,0.0011243832405337189,0.0005325035759771975,0.00046353780404229745,0.12955486586101533,0.016774135500095926,0.010993383320748786,80
ordinary_real_control,class,999,0.008102464232261027,0.05304296762188275,0.9879701251752226,0.00020513415176232741,7.033794825168295e-05,5.92551329404655e-05,0.036151064271071745,0.0022226724354046734,0.001394568531323125,80
