class_name,conditioning_key,source_group,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_artifact_cosine,n
backpack,class,base_generated_control,0.05769494163707885,0.3075204477574857,0.9838581658076632,0.9838581658633088,100
backpack,class,dreambooth_reference,0.06327110073869138,0.336404603461055,0.9839910951605162,0.9839910952191502,150
backpack,class,ordinary_real_control,0.07382337296348879,0.3566194089287461,0.9817747613513297,0.9817747614026198,100
cat,class,base_generated_control,0.059336246123449295,0.3065363644579635,0.9837458568540518,0.9837458569038589,100
cat,class,dreambooth_reference,0.0594644900046308,0.3353886732366849,0.9832275166419238,0.9832275167132838,125
cat,class,ordinary_real_control,0.07029356368396086,0.3279612768820435,0.9807690539958669,0.9807690540464349,100
dog,class,base_generated_control,0.05829202747527099,0.3223230933810592,0.9849432100118214,0.9849432100608634,200
dog,class,dreambooth_reference,0.06136453767122915,0.32933704626220023,0.9846655074477508,0.9846655075066312,125
dog,class,ordinary_real_control,0.07093539434004024,0.3636267471032678,0.9823285676499041,0.982328567697315,100
vase,class,base_generated_control,0.055904177845509266,0.31080493551752236,0.9842241833870206,0.9842241834541876,100
vase,class,dreambooth_reference,0.06806925678002212,0.269042079274144,0.9717794809333675,0.9717794810121817,150
vase,class,ordinary_real_control,0.07177103288854148,0.3569408161008982,0.9816529120128316,0.981652912062506,100
