source_group,conditioning_key,timestep,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_dct_clean_low,mean_dct_clean_mid,mean_dct_clean_high,mean_dct_artifact_low,mean_dct_artifact_mid,mean_dct_artifact_high,n
base_generated_control,class,50,0.1288752471535926,0.668741595489372,0.9809726267008847,0.017340586768048897,0.016955831727223897,0.016824921374328162,0.5652888644113686,0.44269756340625527,0.4301363655292361,100
base_generated_control,class,200,0.08895316701125829,0.4713690248728555,0.9812536272845578,0.011098866784996185,0.008572841503090754,0.007685117833921925,0.36427470953146,0.21971030612117576,0.21434976446698328,100
base_generated_control,class,500,0.04619758769000971,0.2579685084471151,0.9816918954542573,0.004347017763414353,0.002398546105214743,0.0019753821539694773,0.20093179628634858,0.06756584745090213,0.06155202639876069,100
base_generated_control,class,800,0.018543412862143747,0.11763573356957818,0.9866202597560105,0.001076956374785055,0.000403460621302853,0.000293646336396908,0.10131664150726992,0.014275613900767405,0.009577448640992591,100
base_generated_control,class,999,0.006950192634399229,0.053794926722357375,0.9911769641279911,0.000212193998449156,5.474572653800952e-05,3.899848228175752e-05,0.04058335820407173,0.002401152253919908,0.0013154518955304651,100
base_generated_control,class_context,50,0.12893322043518335,0.6687886408610172,0.9809585225577417,0.017337534096072568,0.016966385874427413,0.016842877784598864,0.5654348792403252,0.44274067382483695,0.4301671158069167,100
base_generated_control,class_context,200,0.08899513987000723,0.4714122383414507,0.9812421195120881,0.011101970592580406,0.008582012506329548,0.007692678955997481,0.36437637508658105,0.21973465488946392,0.21437109595961906,100
base_generated_control,class_context,500,0.0462286301122429,0.2579533722606137,0.9816514308986544,0.004353744781763241,0.0024035267972192433,0.001977527878831565,0.20112779251253485,0.06756227769723026,0.061546834206607046,100
base_generated_control,class_context,800,0.01855161168466171,0.11783088235496848,0.9866517761215313,0.001073991859338928,0.00040418290951865104,0.00029396503490332197,0.10221419429787464,0.014312947722544891,0.009586408541888693,100
base_generated_control,class_context,999,0.006960094013516647,0.054446865132526084,0.9913305301923124,0.00021484464802551398,5.478832555006601e-05,3.904505188889081e-05,0.04272846528360492,0.00241145198368372,0.00131764258559591,100
base_generated_control,null,50,0.12899300066779978,0.6704120233850343,0.9810398046505899,0.01724498635161091,0.016945928381759384,0.016874583291495854,0.5694329218027083,0.44515083374843284,0.4320702280892628,100
base_generated_control,null,200,0.08901224703204265,0.47369110526889124,0.9814453275690026,0.011052284067878743,0.008578812113087489,0.007697554750089839,0.3701925960479338,0.22218058959811465,0.21613718284520783,100
base_generated_control,null,500,0.04632947502628218,0.26081765710160587,0.9821875751357436,0.0043607172740149905,0.002413172486000802,0.001986297796723223,0.2087027337427849,0.0693486050524985,0.06246487517172761,100
base_generated_control,null,800,0.019105804680495882,0.1227125621555626,0.9870084573559406,0.0014544133958953832,0.000431897022707487,0.000298686396438245,0.12489533285987306,0.015519785639032349,0.009749222063381077,100
base_generated_control,null,999,0.00698117881530745,0.05591358653728592,0.9918375681040432,0.00021664652181042202,5.489387407332258e-05,3.933290328771983e-05,0.0467277391903666,0.002454786206600587,0.001329877830859308,100
dreambooth_reference,class,50,0.23803774343223194,0.7037060414697607,0.8937269428799673,0.08764933063843261,0.09240303054591419,0.09080983678473484,0.552972318873753,0.43037507431939753,0.39422933935456245,25
dreambooth_reference,class,200,0.17586037362461057,0.5035212989924143,0.8500367571694816,0.08311572274184574,0.0589064953408672,0.05639261778224809,0.3578852561015865,0.2144498419153614,0.1865679980988662,25
dreambooth_reference,class,500,0.09410383609324048,0.2779172397782196,0.8177946525457659,0.05369719155385048,0.01845357558921039,0.016019717291704153,0.2083484008365644,0.07076779549718662,0.0498336794198176,25
dreambooth_reference,class,800,0.0379389449651448,0.11901531595179492,0.8167123862821586,0.02095420444035977,0.0033015858845155,0.002021244137184892,0.09870191593477848,0.013278890416008535,0.006472001558800049,25
dreambooth_reference,class,999,0.01506762594963994,0.05069912073721434,0.8392637420080392,0.005696198979297128,0.0005022477964759506,0.00026604644819248056,0.030074526666297126,0.0019372543632289443,0.000826315104795577,25
dreambooth_reference,class_context,50,0.23807773580065714,0.7037067362523254,0.8937056213787474,0.08762607644619899,0.09242343972886098,0.09082065639840398,0.5529947621027638,0.4303855817527405,0.39420424958237765,25
dreambooth_reference,class_context,200,0.17586514355739502,0.5035217528868813,0.8500347155752985,0.08309068142687162,0.058918672753383895,0.056388280533890736,0.358009784759061,0.21448407735881647,0.18655393047258023,25
dreambooth_reference,class_context,500,0.09404183603104117,0.27802934997635753,0.8177809884298988,0.0536781483183358,0.01841656850593932,0.016008162046180847,0.20895271596355047,0.07095072468217632,0.049863447015373444,25
dreambooth_reference,class_context,800,0.03787006766587481,0.11908933266571248,0.8168726581838803,0.020383455109882993,0.0032806980833256076,0.00201983200670594,0.09952796588463622,0.013310707149443164,0.00648387089413091,25
