class_name,conditioning_key,source_group,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_artifact_cosine,n
backpack,class,base_generated_control,0.05769597618777355,0.3075208973864877,0.9838572462871362,0.9838572463427829,100
backpack,class,dreambooth_reference,0.06598279922321025,0.3137044780210445,0.9812782114133876,0.9812782114749927,25
backpack,class,ordinary_real_control,0.07565943635275515,0.3344128197945807,0.979543721996275,0.979543722049291,25
backpack,class_context,base_generated_control,0.05772130933558204,0.30764573137269424,0.9838549497962287,0.9838549498513975,100
backpack,class_context,dreambooth_reference,0.06596477882534595,0.31406939206918866,0.9814258060216592,0.981425806081116,25
backpack,null,base_generated_control,0.057772467612332665,0.30905231331235805,0.9841197596261192,0.9841197596788704,100
backpack,null,dreambooth_reference,0.06605506652083223,0.31410681303767957,0.9812704809441639,0.9812704810048561,25
cat,class,base_generated_control,0.059336953769054776,0.30653634418701897,0.983745074118908,0.983745074168717,100
cat,class,dreambooth_reference,0.05524000650782671,0.36998866158198745,0.9904955606162115,0.9904955606728291,25
cat,class,ordinary_real_control,0.0680911110935543,0.34636608915287376,0.9783093177744294,0.9783093178232066,25
cat,class_context,base_generated_control,0.059357709025889334,0.30672607811449987,0.9837721938665662,0.9837721939155215,100
cat,class_context,dreambooth_reference,0.055244476160122354,0.37001623157083335,0.9904994461693409,0.9904994462262695,25
cat,null,base_generated_control,0.059768348395820785,0.31144731116550767,0.9840769580900023,0.9840769581352753,100
cat,null,dreambooth_reference,0.05520563396394374,0.37054797623528507,0.9905236368805062,0.9905236369378038,25
dog,class,base_generated_control,0.05829157691621392,0.3223233419348932,0.9849439136056639,0.9849439136547045,200
dog,class,dreambooth_reference,0.18664736829282091,0.340391436184613,0.6333229200670039,0.6333229201023756,50
dog,class,ordinary_real_control,0.06898025903995447,0.39795889864764084,0.9870624030982407,0.9870624031420242,25
dog,class_context,base_generated_control,0.05833736826589067,0.32259208185629284,0.9849824512832889,0.9849824513312271,200
dog,class_context,dreambooth_reference,0.18663843058792282,0.3404103903994221,0.6335991341423063,0.6335991341771399,50
dog,null,base_generated_control,0.05842882214552346,0.3256440732560204,0.9854562134380331,0.9854562134825607,200
dog,null,dreambooth_reference,0.18709893458240995,0.34117692162489555,0.6337316724241022,0.6337316724597172,50
vase,class,base_generated_control,0.055903523562147416,0.3108058636579849,0.9842252257063292,0.9842252257734886,100
vase,class,dreambooth_reference,0.06649098174818888,0.29038300495714586,0.9791148687218059,0.979114868772039,25
vase,class,ordinary_real_control,0.07258388773208627,0.31951797726059955,0.9777013612122042,0.9777013612697448,25
vase,class_context,base_generated_control,0.05591494122235914,0.3108760257507962,0.9842423330529555,0.9842423331195608,100
vase,class_context,dreambooth_reference,0.06647600717490408,0.29047578346559116,0.979158115145024,0.9791581151951365,25
vase,null,base_generated_control,0.056023245922727574,0.3117591634584733,0.9844095882231322,0.9844095882871664,100
vase,null,dreambooth_reference,0.06651044160139992,0.29084346273901196,0.9792711388881123,0.9792711389381508,25
