experiment_label,metric_name,class_name,conditioning_key,base_generated_control,dreambooth_reference,ordinary_real_control,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
stage15a_class,raw_norm,backpack,class,0.3075204477574857,0.336404603461055,0.3566194089287461,,0.0490989611712603,-0.0202148054676911,
stage15a_class,raw_norm,cat,class,0.3065363644579635,0.3353886732366849,0.3279612768820435,,0.02142491242408,0.0074273963546414,
stage15a_class,raw_norm,dog,class,0.3223230933810592,0.3293370462622002,0.3636267471032678,,0.0413036537222086,-0.0342897008410675,
stage15a_class,raw_norm,vase,class,0.3108049355175223,0.269042079274144,0.3569408161008982,,0.0461358805833758,-0.0878987368267542,
stage15a_class,projected_artifact_norm,backpack,class,0.3019417447315674,0.3302248400115403,0.3486923895345339,,0.0467506448029664,-0.0184675495229936,
stage15a_class,projected_artifact_norm,cat,class,0.3006140790297859,0.329965122849963,0.3201834965760317,,0.0195694175462458,0.0097816262739313,
stage15a_class,projected_artifact_norm,dog,class,0.3169139690451624,0.3235111316775372,0.3565014183477991,,0.0395874493026366,-0.0329902866702618,
stage15a_class,projected_artifact_norm,vase,class,0.3056714825959225,0.2598921132467652,0.3494912095261471,,0.0438197269302246,-0.0895990962793819,
stage15a_class,clean_norm,backpack,class,0.0576949416370788,0.0632711007386913,0.0738233729634887,,0.0161284313264099,-0.0105522722247974,
stage15a_class,clean_norm,cat,class,0.0593362461234492,0.0594644900046308,0.0702935636839608,,0.0109573175605115,-0.01082907367933,
stage15a_class,clean_norm,dog,class,0.0582920274752709,0.0613645376712291,0.0709353943400402,,0.0126433668647692,-0.009570856668811,
stage15a_class,clean_norm,vase,class,0.0559041778455092,0.0680692567800221,0.0717710328885414,,0.0158668550430322,-0.0037017761085193,
stage15b_prompt_matched,raw_norm,backpack,prompt_matched,0.3394843597672302,,0.3562450250696349,,0.0167606653024047,,
stage15b_prompt_matched,raw_norm,cat,prompt_matched,0.3121402780053465,,0.3275944443599527,,0.0154541663546061,,
stage15b_prompt_matched,raw_norm,dog,prompt_matched,0.3225908634986589,,0.3634629732786164,,0.0408721097799575,,
stage15b_prompt_matched,raw_norm,vase,prompt_matched,0.3446054258011029,,0.3567174962156783,,0.0121120704145754,,
stage15b_prompt_matched,projected_artifact_norm,backpack,prompt_matched,0.334274164466599,,0.34832649051708,,0.014052326050481,,
stage15b_prompt_matched,projected_artifact_norm,cat,prompt_matched,0.3058200321909238,,0.3198341398176804,,0.0140141076267565,,
stage15b_prompt_matched,projected_artifact_norm,dog,prompt_matched,0.3171522874065658,,0.3563360068148598,,0.0391837194082939,,
stage15b_prompt_matched,projected_artifact_norm,vase,prompt_matched,0.3397159307851854,,0.3492663731219631,,0.0095504423367776,,
stage15b_prompt_matched,clean_norm,backpack,prompt_matched,0.0578842198837076,,0.0737396652237279,,0.0158554453400202,,
stage15b_prompt_matched,clean_norm,cat,prompt_matched,0.0615603530925178,,0.0701748970611928,,0.008614543968675,,
stage15b_prompt_matched,clean_norm,dog,prompt_matched,0.0581377804832154,,0.0709342475854875,,0.012796467102272,,
stage15b_prompt_matched,clean_norm,vase,prompt_matched,0.0572045326721801,,0.0717588491674225,,0.0145543164952423,,
