experiment_label,metric_name,class_name,conditioning_key,base_generated_control,dreambooth_reference,ordinary_real_control,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
stage15a_class,raw_norm,backpack,class,0.3075204477574857,0.336404603461055,0.3566194089287461,,0.04909896117126039,-0.02021480546769111,
stage15a_class,raw_norm,cat,class,0.3065363644579635,0.3353886732366849,0.3279612768820435,,0.02142491242408001,0.007427396354641402,
stage15a_class,raw_norm,dog,class,0.3223230933810592,0.32933704626220023,0.3636267471032678,,0.04130365372220862,-0.03428970084106758,
stage15a_class,raw_norm,vase,class,0.31080493551752236,0.269042079274144,0.3569408161008982,,0.04613588058337581,-0.0878987368267542,
stage15a_class,projected_artifact_norm,backpack,class,0.30194174473156743,0.3302248400115403,0.3486923895345339,,0.04675064480296648,-0.01846754952299362,
stage15a_class,projected_artifact_norm,cat,class,0.3006140790297859,0.32996512284996304,0.3201834965760317,,0.019569417546245804,0.009781626273931365,
stage15a_class,projected_artifact_norm,dog,class,0.3169139690451624,0.3235111316775372,0.3565014183477991,,0.03958744930263669,-0.03299028667026188,
stage15a_class,projected_artifact_norm,vase,class,0.30567148259592253,0.2598921132467652,0.34949120952614715,,0.04381972693022462,-0.08959909627938195,
stage15a_class,clean_norm,backpack,class,0.05769494163707885,0.06327110073869138,0.07382337296348879,,0.01612843132640994,-0.010552272224797404,
stage15a_class,clean_norm,cat,class,0.059336246123449295,0.0594644900046308,0.07029356368396086,,0.010957317560511569,-0.010829073679330066,
stage15a_class,clean_norm,dog,class,0.05829202747527099,0.06136453767122915,0.07093539434004024,,0.012643366864769252,-0.009570856668811092,
stage15a_class,clean_norm,vase,class,0.055904177845509266,0.06806925678002212,0.07177103288854148,,0.01586685504303221,-0.00370177610851935,
