experiment_label,class_name,conditioning_key,source_group,raw_norm,projected_artifact_norm,clean_norm,artifact_fraction,artifact_cosine,clean_fraction,n
stage15a_class,backpack,class,base_generated_control,0.3075204477574857,0.30194174473156743,0.05769494163707885,0.9838581658076632,0.9838581658633088,0.17509561514481725,100
stage15a_class,backpack,class,dreambooth_reference,0.336404603461055,0.3302248400115403,0.06327110073869138,0.9839910951605162,0.9839910952191502,0.17519928979173852,150
stage15a_class,backpack,class,ordinary_real_control,0.3566194089287461,0.3486923895345339,0.07382337296348879,0.9817747613513297,0.9817747614026198,0.18683191897737386,100
stage15a_class,cat,class,base_generated_control,0.3065363644579635,0.3006140790297859,0.059336246123449295,0.9837458568540518,0.9837458569038589,0.17509838840097075,100
stage15a_class,cat,class,dreambooth_reference,0.3353886732366849,0.32996512284996304,0.0594644900046308,0.9832275166419238,0.9832275167132838,0.17902290531113835,125
stage15a_class,cat,class,ordinary_real_control,0.3279612768820435,0.3201834965760317,0.07029356368396086,0.9807690539958669,0.9807690540464349,0.19170901942289872,100
stage15a_class,dog,class,base_generated_control,0.3223230933810592,0.3169139690451624,0.05829202747527099,0.9849432100118214,0.9849432100608634,0.16957361206156804,200
stage15a_class,dog,class,dreambooth_reference,0.32933704626220023,0.3235111316775372,0.06136453767122915,0.9846655074477508,0.9846655075066312,0.1727841025620942,125
stage15a_class,dog,class,ordinary_real_control,0.3636267471032678,0.3565014183477991,0.07093539434004024,0.9823285676499041,0.982328567697315,0.18453736022125952,100
stage15a_class,vase,class,base_generated_control,0.31080493551752236,0.30567148259592253,0.055904177845509266,0.9842241833870206,0.9842241834541876,0.17440790564505465,100
stage15a_class,vase,class,dreambooth_reference,0.269042079274144,0.2598921132467652,0.06806925678002212,0.9717794809333675,0.9717794810121817,0.22762246895967053,150
stage15a_class,vase,class,ordinary_real_control,0.3569408161008982,0.34949120952614715,0.07177103288854148,0.9816529120128316,0.981652912062506,0.18798201820999258,100
