experiment_label,class_name,conditioning_key,timestep,base_generated_control,ordinary_real_control,dreambooth_reference,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
stage15b_prompt_matched,backpack,prompt_matched,50,0.12764990485189148,0.16888108422572945,,,0.04123117937383797,,
stage15b_prompt_matched,backpack,prompt_matched,200,0.08846735372434478,0.11290334396922083,,,0.024435990244876055,,
stage15b_prompt_matched,backpack,prompt_matched,500,0.04725316563961528,0.05767725496168167,,,0.010424089322066392,,
stage15b_prompt_matched,backpack,prompt_matched,800,0.018993688074963155,0.021445720109956615,,,0.0024520320349934593,,
stage15b_prompt_matched,backpack,prompt_matched,999,0.007056987127723327,0.007790922852050885,,,0.0007339357243275578,,
stage15b_prompt_matched,cat,prompt_matched,50,0.1382134068696779,0.1627859068985721,,,0.024572500028894217,,
stage15b_prompt_matched,cat,prompt_matched,200,0.09395106174862058,0.10496271750204747,,,0.011011655753426886,,
stage15b_prompt_matched,cat,prompt_matched,500,0.04874211704102982,0.05464966930666796,,,0.00590755226563814,,
stage15b_prompt_matched,cat,prompt_matched,800,0.01954860787897985,0.02078501113280746,,,0.0012364032538276087,,
stage15b_prompt_matched,cat,prompt_matched,999,0.00734657192428103,0.00769118046586941,,,0.00034460854158837977,,
stage15b_prompt_matched,dog,prompt_matched,50,0.1296621123715041,0.15662404182581363,,,0.02696192945430953,,
stage15b_prompt_matched,dog,prompt_matched,200,0.08938974276048331,0.10702195458707808,,,0.017632211826594774,,
stage15b_prompt_matched,dog,prompt_matched,500,0.04657894464566577,0.05924780276031918,,,0.01266885811465341,,
stage15b_prompt_matched,dog,prompt_matched,800,0.01822740274252204,0.02327204485130136,,,0.005044642108779321,,
stage15b_prompt_matched,dog,prompt_matched,999,0.006830699895902233,0.008505393902925646,,,0.0016746940070234131,,
stage15b_prompt_matched,vase,prompt_matched,50,0.12562773819894626,0.16069308028294146,,,0.0350653420839952,,
stage15b_prompt_matched,vase,prompt_matched,200,0.08847878335818943,0.10798180228350554,,,0.019503018925316112,,
stage15b_prompt_matched,vase,prompt_matched,500,0.04672954584863786,0.05850194025288502,,,0.011772394404247162,,
stage15b_prompt_matched,vase,prompt_matched,800,0.018367371315296137,0.023175886520387514,,,0.004808515205091377,,
stage15b_prompt_matched,vase,prompt_matched,999,0.0068192246398310705,0.008441536497393,,,0.001622311857561929,,
