experiment_label,class_name,conditioning_key,source_group,timestep,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_dct_clean_low,mean_dct_clean_mid,mean_dct_clean_high,n
stage15a_class,backpack,class,base_generated_control,50,0.13041728674657738,0.6571312100230252,0.9798201153265674,0.017909038179811314,0.017458079657552562,0.017228897963914244,20
stage15a_class,backpack,class,base_generated_control,200,0.08718996858399831,0.45933653288371723,0.9811269193743989,0.009930679778366616,0.00821874405318488,0.007427018183049935,20
stage15a_class,backpack,class,base_generated_control,500,0.045016139657763625,0.24981788251813333,0.9815252760500309,0.00373854376192148,0.00226664023245467,0.0019013677683642049,20
stage15a_class,backpack,class,base_generated_control,800,0.018817837538909067,0.11876350200760799,0.9863888696806663,0.001093029000288725,0.00046618610759252,0.00029261027082764997,20
stage15a_class,backpack,class,base_generated_control,999,0.007033475658145845,0.05255311135494469,0.9904296486066526,0.00021714695469801003,6.230708729457223e-05,3.871678611423053e-05,20
stage15a_class,backpack,class,dreambooth_reference,50,0.14577872167776115,0.7040945468455934,0.9775613972952953,0.024285330272503174,0.02218815632705001,0.020999122602557586,30
stage15a_class,backpack,class,dreambooth_reference,200,0.09454460563051968,0.5152378384347669,0.9820525983500324,0.013296455520216814,0.009474898633114412,0.00859943888064786,30
stage15a_class,backpack,class,dreambooth_reference,500,0.04926109626932089,0.29317308165534245,0.9851619569293025,0.004821691892830364,0.0026786563412763966,0.0022508970669226098,30
stage15a_class,backpack,class,dreambooth_reference,800,0.01954585292970506,0.11980736091082535,0.9860816275375701,0.00118452767771484,0.00047778549726635,0.00031905765649169003,30
stage15a_class,backpack,class,dreambooth_reference,999,0.007225227186150126,0.0497101894587469,0.989097895690381,0.00021806983081688666,6.537991547416358e-05,4.096178783332541e-05,30
stage15a_class,backpack,class,ordinary_real_control,50,0.16876245470000947,0.7254719486826037,0.9718016039901158,0.026501308764757557,0.02818141084649271,0.02895760981065888,20
stage15a_class,backpack,class,ordinary_real_control,200,0.11286662713346489,0.5521340716614275,0.9785077993067148,0.015594499495268116,0.013210320259009964,0.012515657098678159,20
stage15a_class,backpack,class,ordinary_real_control,500,0.05824295689572586,0.3234999613340966,0.9836132126044095,0.004920925182866605,0.003430412698563895,0.00334774233537836,20
stage15a_class,backpack,class,ordinary_real_control,800,0.02146246383742882,0.12998395636810675,0.9862686046970424,0.000869972321915985,0.00043126622293216,0.0004592641251883,20
stage15a_class,backpack,class,ordinary_real_control,999,0.00778236225081487,0.05200710659749609,0.9886825861583658,0.00016150167786289,5.5553591526189354e-05,5.848377411623409e-05,20
stage15a_class,cat,class,base_generated_control,50,0.1337099575480947,0.6435181201393235,0.9781078205962748,0.019368236499846904,0.0184683228846801,0.0179407869858424,20
stage15a_class,cat,class,base_generated_control,200,0.09152110839996634,0.45264813271424637,0.978651898602419,0.012683171476237676,0.00895606498926311,0.008113213037002635,20
stage15a_class,cat,class,base_generated_control,500,0.04631172579024127,0.25897001741919323,0.981671136591236,0.005139634780876775,0.002311095647362655,0.0019730853462451197,20
stage15a_class,cat,class,base_generated_control,800,0.018260264854741425,0.12145340591501948,0.9880412616029821,0.001199730762909125,0.00033773534390979,0.00029347680027727,20
stage15a_class,cat,class,base_generated_control,999,0.006878174024202726,0.056092146102034925,0.9922571668773472,0.00024527145071077,4.530331515130789e-05,3.903624163605786e-05,20
stage15a_class,cat,class,dreambooth_reference,50,0.13559021886812553,0.7327020855806572,0.9824654265736832,0.022028863788382667,0.019994934066955985,0.017776935970272505,25
stage15a_class,cat,class,dreambooth_reference,200,0.08881616378706164,0.5165058737504282,0.9845621334879203,0.012563327978666921,0.009112365906702231,0.00729119156404826,25
stage15a_class,cat,class,dreambooth_reference,500,0.04458857468381263,0.2727639766375041,0.9856605037464977,0.0042108387682159845,0.002266288970839064,0.00180122156053906,25
stage15a_class,cat,class,dreambooth_reference,800,0.02033639533981835,0.10980688616442282,0.9807630417090308,0.001986891243436892,0.000612032610657868,0.00029183476339602,25
stage15a_class,cat,class,dreambooth_reference,999,0.00799109734433582,0.04516454405041209,0.9826864776924864,0.00041430342251112004,9.958935604105578e-05,3.795650333284148e-05,25
stage15a_class,cat,class,ordinary_real_control,50,0.16259264331703263,0.6835927865630895,0.9710715215200935,0.02642159846589192,0.027290884758639528,0.026425553955087267,20
stage15a_class,cat,class,ordinary_real_control,200,0.10469983576618418,0.4917495692789345,0.9769679285112123,0.015109473957936525,0.011664215448904319,0.010652545249645009,20
stage15a_class,cat,class,ordinary_real_control,500,0.055662014480081325,0.2869029697599212,0.9808355601237908,0.006852088521805929,0.003503506293046045,0.0028058058961651948,20
stage15a_class,cat,class,ordinary_real_control,800,0.020819549447942277,0.12387910482581402,0.9855252593258961,0.00151322402215474,0.0005130696571160351,0.000357313736825405,20
stage15a_class,cat,class,ordinary_real_control,999,0.007693775408563949,0.05368195398245819,0.9894450004983424,0.000286811644436605,6.830445494301596e-05,4.566494573999095e-05,20
stage15a_class,dog,class,base_generated_control,50,0.12808633570063657,0.6800866053943546,0.9818793065273217,0.0177468017188546,0.01670307748257418,0.016570466372397095,40
stage15a_class,dog,class,base_generated_control,200,0.08983751103894785,0.4841186310917324,0.9817630541500705,0.01214246642781156,0.00889314634996288,0.007742818801628937,40
stage15a_class,dog,class,base_generated_control,500,0.0473731365343518,0.2694152359252898,0.9825179705620505,0.004588950036886815,0.0025274337780237773,0.0020690763627012375,40
stage15a_class,dog,class,base_generated_control,800,0.019059069767601054,0.1214366436669545,0.9868372050204217,0.0010975674341184274,0.000419211882177095,0.0003114859843897575,40
