experiment_label,class_name,conditioning_key,source_group,timestep,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_dct_clean_low,mean_dct_clean_mid,mean_dct_clean_high,n
stage15b_prompt_matched,backpack,prompt_matched,base_generated_control,50,0.12764990485189148,0.7030870666598531,0.9820750822957682,0.016185788591214105,0.016455804012587727,0.016710351160899778,40
stage15b_prompt_matched,backpack,prompt_matched,base_generated_control,200,0.08846735372434478,0.516294371790437,0.9833014581447358,0.009900140190479897,0.00829119913143837,0.0076977965123403,40
stage15b_prompt_matched,backpack,prompt_matched,base_generated_control,500,0.04725316563961528,0.2917562265095713,0.9835709000062538,0.003884473635461708,0.0025840410297219424,0.0020706428680592652,40
stage15b_prompt_matched,backpack,prompt_matched,base_generated_control,800,0.018993688074963155,0.13026979003586453,0.9880994176124214,0.00104170512475628,0.0004556167763832725,0.00030240754221577,40
stage15b_prompt_matched,backpack,prompt_matched,base_generated_control,999,0.007056987127723327,0.05601434384042504,0.9916406342905486,0.00020706471811857502,6.096769467844413e-05,3.95300351725971e-05,40
stage15b_prompt_matched,backpack,prompt_matched,ordinary_real_control,50,0.16888108422572945,0.7254534858889299,0.9717552118291859,0.026583462065014517,0.028214135638532922,0.02899993803117549,20
stage15b_prompt_matched,backpack,prompt_matched,ordinary_real_control,200,0.11290334396922083,0.5520358121253441,0.9784809365267106,0.015722534938411015,0.013232159546793151,0.012514445234321436,20
stage15b_prompt_matched,backpack,prompt_matched,ordinary_real_control,500,0.05767725496168167,0.32279456064973094,0.9838647608601503,0.00471397358900098,0.0033324510519981247,0.003292397484894465,20
stage15b_prompt_matched,backpack,prompt_matched,ordinary_real_control,800,0.021445720109956615,0.12956362159436466,0.9862041787538803,0.00087297817091667,0.00043028101514233,0.00045850138930282993,20
stage15b_prompt_matched,backpack,prompt_matched,ordinary_real_control,999,0.007790922852050885,0.05137764508980456,0.9883560740542097,0.00016722000955517,5.543377011816129e-05,5.8418104188883055e-05,20
stage15b_prompt_matched,cat,prompt_matched,base_generated_control,50,0.1382134068696779,0.6570041053215662,0.9767917808398211,0.020754915228514782,0.019645450637603805,0.019308072220950823,40
stage15b_prompt_matched,cat,prompt_matched,base_generated_control,200,0.09395106174862058,0.46620302325122864,0.9781677544790235,0.012942470402958534,0.009497777142802161,0.00855165034033772,40
