experiment_label,class_name,conditioning_key,timestep,frequency_band,base_generated_control,ordinary_real_control,dreambooth_reference,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
stage15b_prompt_matched,cat,prompt_matched,200,high,0.00855165034033772,0.010699612209146305,,,0.0021479618688085844,,
stage15b_prompt_matched,cat,prompt_matched,200,low,0.012942470402958534,0.015186233649381495,,,0.002243763246422961,,
stage15b_prompt_matched,cat,prompt_matched,200,mid,0.009497777142802161,0.011737468660748115,,,0.0022396915179459537,,
stage15b_prompt_matched,cat,prompt_matched,500,high,0.002209543164723705,0.002723005103563145,,,0.00051346193883944,,
stage15b_prompt_matched,cat,prompt_matched,500,low,0.004973579799945613,0.006391794112905165,,,0.0014182143129595525,,
stage15b_prompt_matched,cat,prompt_matched,500,mid,0.00260019906500439,0.0033519389301114298,,,0.0007517398651070398,,
stage15b_prompt_matched,cat,prompt_matched,800,high,0.0003340079453136025,0.00035670980586327,,,2.270186054966752e-05,,
stage15b_prompt_matched,cat,prompt_matched,800,low,0.00123769482496282,0.0014825980892283351,,,0.00024490326426551516,,
stage15b_prompt_matched,cat,prompt_matched,800,mid,0.000417939030191615,0.0005132131134371,,,9.5274083245485e-05,,
stage15b_prompt_matched,cat,prompt_matched,999,high,4.458755330028268e-05,4.559456561543415e-05,,,1.0070123151514746e-06,,
stage15b_prompt_matched,cat,prompt_matched,999,low,0.00024772644690808,0.000287328617684285,,,3.960217077620499e-05,,
stage15b_prompt_matched,cat,prompt_matched,999,mid,5.6783958699557344e-05,6.827949137212653e-05,,,1.1495532672569184e-05,,
stage15b_prompt_matched,dog,prompt_matched,50,high,0.016835002637809487,0.024810908401431388,,,0.0079759057636219,,
stage15b_prompt_matched,dog,prompt_matched,50,low,0.01772811352115799,0.02135997376386187,,,0.003631860242703882,,
stage15b_prompt_matched,dog,prompt_matched,50,mid,0.017609928038407656,0.024805800960333666,,,0.00719587292192601,,
stage15b_prompt_matched,dog,prompt_matched,200,high,0.007650202395164618,0.011164606242801654,,,0.0035144038476370362,,
stage15b_prompt_matched,dog,prompt_matched,200,low,0.011194102100141302,0.01355597339469176,,,0.0023618712945504584,,
stage15b_prompt_matched,dog,prompt_matched,200,mid,0.008910110892906564,0.012182417906284704,,,0.003272307013378141,,
stage15b_prompt_matched,dog,prompt_matched,500,high,0.00198429800411444,0.0033076887205456852,,,0.0013233907164312453,,
stage15b_prompt_matched,dog,prompt_matched,500,low,0.004498611896370937,0.00584630192701394,,,0.0013476900306430032,,
stage15b_prompt_matched,dog,prompt_matched,500,mid,0.0024660061280817025,0.003919694197587755,,,0.0014536880695060522,,
stage15b_prompt_matched,dog,prompt_matched,800,high,0.000287379584356295,0.00048202229644089,,,0.00019464271208459498,,
stage15b_prompt_matched,dog,prompt_matched,800,low,0.001093285703136655,0.001149113483172955,,,5.582778003629992e-05,,
stage15b_prompt_matched,dog,prompt_matched,800,mid,0.0003651434208848325,0.000691550265077395,,,0.00032640684419256254,,
stage15b_prompt_matched,dog,prompt_matched,999,high,3.802488601009538e-05,6.139925718720284e-05,,,2.3374371177107452e-05,,
stage15b_prompt_matched,dog,prompt_matched,999,low,0.00022620088799193,0.00022398822072177497,,,-2.212667270155036e-06,,
stage15b_prompt_matched,dog,prompt_matched,999,mid,4.830860280571988e-05,9.061672742389471e-05,,,4.2308124618174824e-05,,
stage15b_prompt_matched,vase,prompt_matched,50,high,0.016157185247094495,0.026755115467461538,,,0.010597930220367043,,
stage15b_prompt_matched,vase,prompt_matched,50,low,0.014177199262288215,0.02164664895962236,,,0.0074694496973341466,,
stage15b_prompt_matched,vase,prompt_matched,50,mid,0.015812064027289872,0.02453913506557934,,,0.008727071038289468,,
stage15b_prompt_matched,vase,prompt_matched,200,high,0.007704964238908697,0.011684110318461605,,,0.003979146079552908,,
stage15b_prompt_matched,vase,prompt_matched,200,low,0.009398753527736826,0.0125082174095902,,,0.003109463881853375,,
stage15b_prompt_matched,vase,prompt_matched,200,mid,0.008329128181134116,0.011855120047114486,,,0.00352599186598037,,
stage15b_prompt_matched,vase,prompt_matched,500,high,0.002068410512841595,0.003459579034054915,,,0.0013911685212133203,,
stage15b_prompt_matched,vase,prompt_matched,500,low,0.003917638928994887,0.004316556098641725,,,0.00039891716964683775,,
stage15b_prompt_matched,vase,prompt_matched,500,mid,0.002386914289000045,0.003381685939225535,,,0.00099477165022549,,
stage15b_prompt_matched,vase,prompt_matched,800,high,0.00030371514572772,0.00055249836738831,,,0.00024878322166059,,
stage15b_prompt_matched,vase,prompt_matched,800,low,0.0008958303333941025,0.0008899169840981399,,,-5.913349295962565e-06,,
stage15b_prompt_matched,vase,prompt_matched,800,mid,0.0003671059025709525,0.00050267149669846,,,0.00013556559412750753,,
stage15b_prompt_matched,vase,prompt_matched,999,high,3.984614736300732e-05,7.133433203707061e-05,,,3.1488184674063294e-05,,
stage15b_prompt_matched,vase,prompt_matched,999,low,0.00017833061568808998,0.00015771969165874938,,,-2.06109240293406e-05,,
stage15b_prompt_matched,vase,prompt_matched,999,mid,4.896732778489551e-05,6.686093014617772e-05,,,1.789360236128221e-05,,
