experiment_label,class_name,conditioning_key,timestep,base_generated_control,dreambooth_reference,ordinary_real_control,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
stage15a_class,backpack,class,50,0.13041728674657738,0.14577872167776115,0.16876245470000947,,0.0383451679534321,-0.02298373302224832,
stage15a_class,backpack,class,200,0.08718996858399831,0.09454460563051968,0.11286662713346489,,0.025676658549466574,-0.018322021502945207,
stage15a_class,backpack,class,500,0.045016139657763625,0.04926109626932089,0.05824295689572586,,0.013226817237962235,-0.00898186062640497,
stage15a_class,backpack,class,800,0.018817837538909067,0.01954585292970506,0.02146246383742882,,0.002644626298519751,-0.0019166109077237599,
stage15a_class,backpack,class,999,0.007033475658145845,0.007225227186150126,0.00778236225081487,,0.0007488865926690248,-0.0005571350646647434,
stage15a_class,cat,class,50,0.1337099575480947,0.13559021886812553,0.16259264331703263,,0.028882685768937932,-0.027002424448907103,
stage15a_class,cat,class,200,0.09152110839996634,0.08881616378706164,0.10469983576618418,,0.013178727366217835,-0.015883671979122535,
stage15a_class,cat,class,500,0.04631172579024127,0.04458857468381263,0.055662014480081325,,0.009350288689840051,-0.011073439796268694,
stage15a_class,cat,class,800,0.018260264854741425,0.02033639533981835,0.020819549447942277,,0.0025592845932008515,-0.000483154108123926,
stage15a_class,cat,class,999,0.006878174024202726,0.00799109734433582,0.007693775408563949,,0.0008156013843612234,0.0002973219357718703,
stage15a_class,dog,class,50,0.12808633570063657,0.1412325817866749,0.1564992975033222,,0.028412961802685627,-0.015266715716647311,
stage15a_class,dog,class,200,0.08983751103894785,0.09268312228604993,0.10704490206128084,,0.017207391022332985,-0.014361779775230912,
stage15a_class,dog,class,500,0.0473731365343518,0.04706576823017868,0.05937969997629983,,0.012006563441948025,-0.012313931746121144,
stage15a_class,dog,class,800,0.019059069767601054,0.018807965897319926,0.02326343325217862,,0.004204363484577565,-0.004455467354858692,
stage15a_class,dog,class,999,0.007104084334817689,0.007033250155922341,0.008489638907119745,,0.0013855545723020554,-0.001456388751197404,
stage15a_class,vase,class,50,0.12407411550646494,0.16311429612485256,0.16050268022957984,,0.0364285647231149,0.0026116158952727286,
stage15a_class,vase,class,200,0.0863791667351392,0.10263515981740837,0.10803934481595934,,0.02166017808082013,-0.0054041849985509705,
stage15a_class,vase,class,500,0.04491463099919411,0.049043466039766254,0.058617436330821546,,0.013702805331627432,-0.009573970291055292,
stage15a_class,vase,class,800,0.01751868937393389,0.018629240815254744,0.023251622703801125,,0.005732933329867233,-0.004622381888546381,
stage15a_class,vase,class,999,0.00663428661281421,0.0069241211028286806,0.00844408036254554,,0.0018097937497313305,-0.0015199592597168595,
