experiment_label,class_name,conditioning_key,timestep,frequency_band,base_generated_control,dreambooth_reference,ordinary_real_control,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
stage15a_class,vase,class,50,low,0.013931513911128346,0.042127509327625184,0.02171980686322998,,0.007788292952101632,0.020407702464395206,
stage15a_class,vase,class,200,low,0.00859660137235233,0.023296554139275807,0.012564270249005648,,0.003967668876653318,0.010732283890270158,
stage15a_class,vase,class,50,mid,0.015443082251694207,0.027997855506855924,0.024490051382835575,,0.009046969131141367,0.0035078041240203493,
stage15a_class,vase,class,500,low,0.003683994471095465,0.0074842266393839035,0.004444285893927915,,0.0007602914228324502,0.0030399407454559883,
stage15a_class,dog,class,50,low,0.0177468017188546,0.022801805187735648,0.021415326628470774,,0.0036685249096161734,0.001386478559264874,
stage15a_class,vase,class,800,low,0.000895229684532375,0.001767968820231,0.0009227048164918249,,2.747513195944988e-05,0.0008452640037391752,
stage15a_class,dog,class,200,low,0.01214246642781156,0.014278873796365348,0.013628497834391526,,0.0014860314065799664,0.0006503759619738217,
stage15a_class,cat,class,800,low,0.001199730762909125,0.001986891243436892,0.00151322402215474,,0.00031349325924561497,0.000473667221282152,
stage15a_class,backpack,class,800,low,0.001093029000288725,0.00118452767771484,0.000869972321915985,,-0.00022305667837273994,0.0003145553557988551,
stage15a_class,dog,class,800,low,0.0010975674341184274,0.00137030275452102,0.0011916318015723249,,9.406436745389743e-05,0.00017867095294869513,
stage15a_class,vase,class,999,low,0.00019574405386988498,0.00032350006640406666,0.00015750362646394463,,-3.824042740594035e-05,0.00016599643994012203,
stage15a_class,cat,class,999,low,0.00024527145071077,0.00041430342251112004,0.000286811644436605,,4.1540193725834974e-05,0.00012749177807451506,
stage15a_class,cat,class,800,mid,0.00033773534390979,0.000612032610657868,0.0005130696571160351,,0.0001753343132062451,9.896295354183291e-05,
stage15a_class,backpack,class,999,low,0.00021714695469801003,0.00021806983081688666,0.00016150167786289,,-5.564527683512004e-05,5.656815295399667e-05,
stage15a_class,backpack,class,800,mid,0.00046618610759252,0.00047778549726635,0.00043126622293216,,-3.4919884660360005e-05,4.651927433418999e-05,
stage15a_class,cat,class,999,mid,4.530331515130789e-05,9.958935604105578e-05,6.830445494301596e-05,,2.3001139791708068e-05,3.128490109803982e-05,
stage15a_class,backpack,class,999,mid,6.230708729457223e-05,6.537991547416358e-05,5.5553591526189354e-05,,-6.753495768382877e-06,9.82632394797423e-06,
stage15a_class,dog,class,999,low,0.0002021050357199775,0.000212508744782796,0.00021471965828587003,,1.261462256589254e-05,-2.2109135030740415e-06,
stage15a_class,cat,class,999,high,3.903624163605786e-05,3.795650333284148e-05,4.566494573999095e-05,,6.628704103933088e-06,-7.70844240714947e-06,
